H	count_all	count_strong
503	150	94
505	114	78
507	115	79
509	166	96
511	136	72
513	155	85
515	100	76
517	102	60
519	130	82
521	126	92
523	156	80
525	104	84
527	120	76
529	119	81
531	152	120
533	121	73
535	108	88
537	126	102
539	121	89
541	116	96
543	101	85
545	128	88
547	133	89
549	115	99
551	106	74
553	100	78
555	120	96
557	102	90
559	110	98
561	138	108
563	100	76
565	116	102
567	104	92
569	143	115
571	132	112
573	136	96
575	105	89
577	119	105
579	141	113
581	123	99
583	128	88
585	120	84
587	110	90
589	117	85
591	132	108
593	145	101
595	127	99
597	133	109
599	122	106
601	113	109
603	123	119
605	106	98
607	85	81
609	105	101
611	109	109
613	94	90
615	125	125
617	96	96
619	113	113
621	123	119
623	99	99
625	108	108
627	127	123
629	128	126
631	103	95
633	117	113
635	97	97
637	116	114
639	130	122
641	135	119
643	115	103
645	122	114
647	129	129
649	111	103
651	120	100
653	127	103
655	127	127
657	143	113
659	118	110
661	122	110
663	120	120
665	111	111
667	102	102
669	141	141
671	110	110
673	143	143
675	127	127
677	114	114
679	126	126
681	101	101
683	110	110
685	128	128
687	143	143
689	88	88
691	136	136
693	142	142
695	135	135
697	97	97
699	114	114
701	125	125
703	130	130
705	151	151
707	150	150
709	89	89
711	128	128
713	144	144
715	147	147
717	144	144
719	106	106
721	146	146
723	128	128
725	146	146
727	131	131
729	140	140
731	139	139
733	96	96
735	147	147
737	124	124
739	119	119
741	137	137
743	127	127
745	129	129
747	120	120
749	147	147
751	120	120
753	137	137
755	138	138
757	141	141
759	144	144
761	134	134
763	113	113
765	141	141
767	179	179
769	124	124
771	135	135
773	139	139
775	141	141
777	147	147
779	135	135
781	157	157
783	128	128
785	116	116
787	127	127
789	152	152
791	133	133
793	153	153
795	166	166
797	140	140
799	108	108
801	137	137
803	167	167
805	111	111
807	174	174
809	160	160
811	139	139
813	124	124
815	164	164
817	113	113
819	164	164
821	131	131
823	174	174
825	165	165
827	172	172
829	138	138
831	177	177
833	171	171
835	157	157
837	190	190
839	171	171
841	167	167
843	141	141
845	198	198
847	177	177
849	159	159
851	148	148
853	153	153
855	142	142
857	162	162
859	175	175
861	156	156
863	157	157
865	174	174
867	155	155
869	144	144
871	130	130
873	166	166
875	184	184
877	164	164
879	147	147
881	155	155
883	164	164
885	184	184
887	146	146
889	164	164
891	159	159
893	144	144
895	163	163
897	155	155
899	157	157
901	171	171
903	185	185
905	181	181
907	164	164
909	190	190
911	182	182
913	166	166
915	204	204
917	188	188
919	208	208
921	160	160
923	165	165
925	157	157
927	163	163
929	170	170
931	160	160
933	171	171
935	183	183
937	173	173
939	175	175
941	172	172
943	194	194
945	206	206
947	211	211
949	168	168
951	163	163
953	157	157
955	143	143
957	187	187
959	183	183
961	145	145
963	239	239
965	210	210
967	162	162
969	200	200
971	159	159
973	184	184
975	167	167
977	163	163
979	150	150
981	200	200
983	178	178
985	169	169
987	167	167
989	189	189
991	145	145
993	214	214
995	161	161
997	156	156
999	212	212
1001	205	205
1003	166	166
1005	193	193
1007	147	147
1009	192	192
1011	198	198
1013	185	185
1015	189	189
1017	178	178
1019	169	169
1021	193	193
1023	193	193
1025	168	168
1027	201	201
1029	188	188
1031	185	185
1033	209	209
1035	207	207
1037	160	160
1039	146	146
1041	204	204
1043	205	205
1045	196	196
1047	225	225
1049	185	185
1051	185	185
1053	178	178
1055	193	193
1057	236	236
1059	200	200
1061	188	188
1063	159	159
1065	180	180
1067	164	164
1069	167	167
1071	232	232
1073	172	172
1075	160	160
1077	164	164
1079	159	159
1081	174	174
1083	190	190
1085	205	205
1087	152	152
1089	175	175
1091	203	203
1093	149	149
1095	203	203
1097	187	187
1099	222	222
1101	191	191
1103	244	244
1105	206	206
1107	216	216
1109	201	201
1111	195	195
1113	210	210
1115	202	202
1117	203	203
1119	225	225
1121	191	191
1123	221	221
1125	241	241
1127	187	187
1129	225	225
1131	200	200
1133	234	234
1135	185	185
1137	185	185
1139	185	185
1141	204	204
1143	209	209
1145	184	184
1147	207	207
1149	228	228
1151	184	184
1153	212	212
1155	207	207
1157	196	196
1159	202	202
1161	161	161
1163	221	221
1165	166	166
1167	217	217
1169	170	170
1171	205	205
1173	180	180
1175	189	189
1177	179	179
1179	182	182
1181	221	221
1183	196	196
1185	222	222
1187	195	195
1189	182	182
1191	217	217
1193	167	167
1195	187	187
1197	175	175
1199	218	218
1201	185	185
1203	193	193
1205	217	217
1207	218	218
1209	206	206
1211	199	199
1213	225	225
1215	203	203
1217	203	203
1219	198	198
1221	214	214
1223	239	239
1225	218	218
1227	195	195
1229	209	209
1231	228	228
1233	191	191
1235	178	178
1237	191	191
1239	209	209
1241	209	209
1243	211	211
1245	204	204
1247	186	186
1249	186	186
1251	211	211
1253	188	188
1255	212	212
1257	198	198
1259	193	193
1261	206	206
1263	210	210
1265	221	221
1267	211	211
1269	198	198
1271	178	178
1273	228	228
1275	224	224
1277	201	201
1279	163	163
1281	218	218
1283	221	221
1285	198	198
1287	227	227
1289	197	197
1291	203	203
1293	215	215
1295	194	194
1297	228	228
1299	190	190
1301	222	222
1303	201	201
1305	217	217
1307	222	222
1309	166	166
1311	204	204
1313	213	213
1315	199	199
1317	190	190
1319	204	204
1321	216	216
1323	196	196
1325	203	203
1327	195	195
1329	228	228
1331	207	207
1333	210	210
1335	204	204
1337	161	161
1339	187	187
1341	217	217
1343	232	232
1345	231	231
1347	204	204
1349	186	186
1351	214	214
1353	215	215
1355	229	229
1357	207	207
1359	212	212
1361	199	199
1363	192	192
1365	205	205
1367	223	223
1369	195	195
1371	235	235
1373	206	206
1375	200	200
1377	196	196
1379	174	174
1381	155	155
1383	228	228
1385	205	205
1387	194	194
1389	193	193
1391	200	200
1393	191	191
1395	196	196
1397	236	236
1399	208	208
1401	198	198
1403	187	187
1405	208	208
1407	204	204
1409	217	217
1411	213	213
1413	238	238
1415	194	194
1417	242	242
1419	229	229
1421	190	190
1423	172	172
1425	196	196
1427	199	199
1429	212	212
1431	214	214
1433	209	209
1435	205	205
1437	224	224
1439	211	211
1441	221	221
1443	228	228
1445	214	214
1447	193	193
1449	231	231
1451	239	239
1453	209	209
1455	212	212
1457	198	198
1459	222	222
1461	205	205
1463	190	190
1465	211	211
1467	257	257
1469	178	178
1471	196	196
1473	219	219
1475	220	220
1477	220	220
1479	197	197
1481	218	218
1483	198	198
1485	204	204
1487	237	237
1489	200	200
1491	197	197
1493	220	220
1495	193	193
1497	208	208
1499	200	200
1501	202	202
1503	257	257
1505	212	212
1507	213	213
1509	235	235
1511	199	199
1513	193	193
1515	238	238
1517	198	198
1519	232	232
1521	230	230
1523	184	184
1525	185	185
1527	215	215
1529	199	199
1531	223	223
1533	191	191
1535	192	192
1537	146	146
1539	163	163
1541	202	202
1543	181	181
1545	179	179
1547	161	161
1549	179	179
1551	184	184
1553	160	160
1555	213	213
1557	186	186
1559	210	210
1561	205	205
1563	196	196
1565	183	183
1567	176	176
1569	216	216
1571	163	163
1573	169	169
1575	199	199
1577	178	178
1579	200	200
1581	198	198
1583	172	172
1585	179	179
1587	180	180
1589	191	191
1591	203	203
1593	213	213
1595	240	240
1597	222	222
1599	186	186
1601	212	212
1603	181	181
1605	211	211
1607	161	161
1609	197	197
1611	203	203
1613	207	207
1615	210	210
1617	208	208
1619	165	165
1621	177	177
1623	219	219
1625	203	203
1627	156	156
1629	176	176
1631	171	171
1633	236	236
1635	231	231
1637	226	226
1639	210	210
1641	200	200
1643	156	156
1645	186	186
1647	208	208
1649	216	216
1651	196	196
1653	198	198
1655	171	171
1657	218	218
1659	218	218
1661	206	206
1663	221	221
1665	208	208
1667	169	169
1669	215	215
1671	190	190
1673	181	181
1675	163	163
1677	175	175
1679	186	186
1681	156	156
1683	174	174
1685	181	181
1687	186	186
1689	190	190
1691	178	178
1693	180	180
1695	194	194
1697	176	176
1699	200	200
1701	178	178
1703	154	154
1705	166	166
1707	166	166
1709	176	176
1711	147	147
1713	199	199
1715	201	201
1717	211	211
1719	236	236
1721	191	191
1723	214	214
1725	248	248
1727	194	194
1729	170	170
1731	203	203
1733	196	196
1735	177	177
1737	226	226
1739	219	219
1741	172	172
1743	193	193
1745	179	179
1747	199	199
1749	195	195
1751	213	213
1753	210	210
1755	202	202
1757	176	176
1759	171	171
1761	209	209
1763	170	170
1765	189	189
1767	202	202
1769	152	152
1771	156	156
1773	179	179
1775	147	147
1777	233	233
1779	235	235
1781	175	175
1783	174	174
1785	207	207
1787	196	196
1789	162	162
1791	169	169
1793	155	155
1795	159	159
1797	166	166
1799	184	184
1801	208	208
1803	154	154
1805	201	201
1807	201	201
1809	202	202
1811	188	188
1813	167	167
1815	182	182
1817	189	189
1819	184	184
1821	190	190
1823	220	220
1825	214	214
1827	183	183
1829	216	216
1831	187	187
1833	193	193
1835	207	207
1837	225	225
1839	244	244
1841	194	194
1843	149	149
1845	189	189
1847	219	219
1849	216	216
1851	198	198
1853	167	167
1855	187	187
1857	198	198
1859	190	190
1861	183	183
1863	179	179
1865	208	208
1867	175	175
1869	225	225
1871	169	169
1873	208	208
1875	179	179
1877	150	150
1879	167	167
1881	198	198
1883	236	236
1885	165	165
1887	182	182
1889	183	183
1891	154	154
1893	170	170
1895	167	167
1897	140	140
1899	168	168
1901	163	163
1903	181	181
1905	195	195
1907	154	154
1909	179	179
1911	152	152
1913	197	197
1915	154	154
1917	219	219
1919	185	185
1921	185	185
1923	152	152
1925	162	162
1927	154	154
1929	192	192
1931	164	164
1933	155	155
1935	204	204
1937	186	186
1939	160	160
1941	158	158
1943	171	171
1945	183	183
1947	169	169
1949	144	144
1951	171	171
1953	158	158
1955	147	147
1957	169	169
1959	186	186
1961	152	152
1963	161	161
1965	166	166
1967	145	145
1969	162	162
1971	176	176
1973	183	183
1975	194	194
1977	148	148
1979	143	143
1981	168	168
1983	202	202
1985	150	150
1987	164	164
1989	164	164
1991	148	148
1993	146	146
1995	175	175
1997	162	162
1999	183	183
2001	166	166
2003	172	172
2005	165	165
2007	147	147
2009	162	162
2011	166	166
2013	158	158
2015	167	167
2017	151	151
2019	174	174
2021	155	155
2023	158	158
2025	150	150
2027	150	150
2029	159	159
2031	153	153
2033	153	153
2035	157	157
2037	171	171
2039	162	162
2041	164	164
2043	175	175
2045	160	160
2047	149	149
2049	174	174
2051	198	198
2053	150	150
2055	155	155
2057	175	175
2059	142	142
2061	192	192
2063	167	167
2065	176	176
2067	180	180
2069	145	145
2071	147	147
2073	163	163
2075	138	138
2077	144	144
2079	196	196
2081	144	144
2083	143	143
2085	162	162
2087	134	134
2089	165	165
2091	176	176
2093	152	152
2095	158	158
2097	155	155
2099	177	177
2101	129	129
2103	182	182
2105	174	174
2107	186	186
2109	151	151
2111	130	130
2113	143	143
2115	123	123
2117	115	115
2119	144	144
2121	155	155
2123	142	142
2125	153	153
2127	148	148
2129	185	185
2131	150	150
2133	161	161
2135	114	114
2137	131	131
2139	163	163
2141	120	120
2143	149	149
2145	150	150
2147	145	145
2149	151	151
2151	138	138
2153	171	171
2155	142	142
2157	142	142
2159	141	141
2161	138	138
2163	123	123
2165	129	129
2167	132	132
2169	125	125
2171	127	127
2173	117	117
2175	159	159
2177	128	128
2179	121	121
2181	109	109
2183	133	133
2185	137	137
2187	105	105
2189	143	143
2191	108	108
2193	140	140
2195	128	128
2197	163	163
2199	134	134
2201	144	144
2203	145	145
2205	136	136
2207	149	149
2209	188	188
2211	115	115
2213	134	134
2215	122	122
2217	130	130
2219	151	151
2221	116	116
2223	120	120
2225	144	144
2227	119	119
2229	131	131
2231	102	102
2233	128	128
2235	144	144
2237	133	133
2239	141	141
2241	144	144
2243	113	113
2245	161	161
2247	115	115
2249	138	138
2251	118	118
2253	122	122
2255	152	152
2257	111	111
2259	150	150
2261	143	143
2263	104	104
2265	135	135
2267	114	114
2269	99	99
2271	179	179
2273	127	127
2275	129	129
2277	135	135
2279	149	149
2281	131	131
2283	124	124
2285	145	145
2287	115	115
2289	119	119
2291	147	147
2293	121	121
2295	179	179
2297	142	142
2299	156	156
2301	146	146
2303	112	112
2305	135	135
2307	118	118
2309	124	124
2311	102	102
2313	141	141
2315	85	85
2317	114	114
2319	109	109
2321	102	102
2323	99	99
2325	116	116
2327	104	104
2329	93	93
2331	97	97
2333	131	131
2335	112	112
2337	119	119
2339	97	97
2341	96	96
2343	150	150
2345	120	120
2347	114	114
2349	95	95
2351	124	124
2353	124	124
2355	123	123
2357	114	114
2359	111	111
2361	87	87
2363	110	110
2365	111	111
2367	121	121
2369	106	106
2371	110	110
2373	96	96
2375	101	101
2377	115	115
2379	107	107
2381	92	92
2383	110	110
2385	86	86
2387	105	105
2389	83	83
2391	102	102
2393	124	124
2395	106	106
2397	97	97
2399	88	88
2401	112	112
2403	108	108
2405	92	92
2407	89	89
2409	86	86
2411	74	74
2413	86	86
2415	83	83
2417	98	98
2419	91	91
2421	67	67
2423	52	52
2425	68	68
2427	52	52
2429	83	83
2431	54	54
2433	91	91
2435	107	107
2437	51	51
2439	72	72
2441	87	87
2443	55	55
2445	70	70
2447	65	65
2449	66	66
2451	53	53
2453	60	60
2455	48	48
2457	50	50
2459	39	39
2461	74	74
2463	44	44
2465	58	58
2467	35	35
2469	72	72
2471	38	38
2473	53	53
2475	48	48
2477	39	39
2479	55	55
2481	56	56
2483	39	39
2485	35	35
2487	49	49
2489	52	52
2491	72	72
2493	56	56
2495	38	38
2497	67	67
2499	72	72
2501	71	71
2503	72	72
2505	85	85
2507	56	56
2509	62	62
2511	88	88
2513	69	69
2515	63	63
2517	66	66
2519	61	61
2521	78	78
2523	89	89
2525	67	67
2527	45	45
2529	76	76
2531	81	81
2533	71	71
2535	77	77
2537	61	61
2539	53	53
2541	76	76
2543	81	81
2545	56	56
2547	82	82
2549	82	82
2551	62	62
2553	68	68
2555	70	70
2557	90	90
2559	91	91
2561	74	74
2563	78	78
2565	70	70
2567	80	80
2569	107	107
2571	89	89
2573	82	82
2575	74	74
2577	94	94
2579	90	90
2581	88	88
2583	66	66
2585	106	106
2587	89	89
2589	103	103
2591	71	71
2593	90	90
2595	73	73
2597	71	71
2599	98	98
2601	77	77
2603	62	62
2605	63	63
2607	71	71
2609	65	65
2611	85	85
2613	80	80
2615	57	57
2617	62	62
2619	76	76
2621	65	65
2623	64	64
2625	69	69
2627	50	50
2629	82	82
2631	56	56
2633	60	60
2635	26	26
2637	52	52
2639	36	36
2641	34	34
2643	29	29
2645	32	32
2647	36	36
2649	26	26
2651	26	26
2653	26	26
2655	35	35
2657	14	14
2659	19	19
2661	14	14
2663	12	12
2665	11	11
2667	8	8
2669	9	9
2671	15	15
2673	10	10
2675	6	6
2677	14	14
2679	9	9
2681	3	3
2683	5	5
2685	6	6
2687	9	9
2689	12	12
2691	5	5
2693	13	13
2695	12	12
2697	14	14
2699	6	6
2701	12	12
2703	13	13
2705	15	15
2707	6	6
2709	18	18
2711	21	21
2713	16	16
2715	11	11
2717	8	8
2719	15	15
2721	18	18
2723	10	10
2725	20	20
2727	17	17
2729	25	25
2731	30	30
2733	25	25
2735	21	21
2737	26	26
2739	34	34
2741	35	35
2743	23	23
2745	41	41
2747	36	36
2749	46	46
2751	34	34
2753	29	29
2755	47	47
2757	59	59
2759	45	45
2761	44	44
2763	61	61
2765	33	33
2767	46	46
2769	53	53
2771	32	32
2773	41	41
2775	61	61
2777	59	59
2779	50	50
2781	59	59
2783	56	56
2785	42	42
2787	54	54
2789	62	62
2791	54	54
2793	78	78
2795	67	67
2797	69	69
2799	63	63
2801	73	73
2803	52	52
2805	79	79
2807	53	53
2809	73	73
2811	65	65
2813	53	53
2815	51	51
2817	64	64
2819	55	55
2821	39	39
2823	60	60
2825	57	57
2827	61	61
2829	46	46
2831	59	59
2833	34	34
2835	25	25
2837	41	41
2839	37	37
2841	33	33
2843	19	19
2845	17	17
2847	23	23
2849	18	18
2851	23	23
2853	31	31
2855	19	19
2857	15	15
2859	18	18
2861	15	15
2863	8	8
2865	16	16
2867	18	18
2869	6	6
2871	11	11
2873	7	7
2875	3	3
2877	3	3
2879	4	4
2881	3	3
2885	2	2
2891	1	1
2903	2	2
2917	1	1
2919	1	1
2931	1	1
2959	1	1
2961	3	3
2963	1	1
2967	2	2
2971	8	8
2973	2	2
2979	1	1
2981	4	4
2983	6	6
2985	4	4
2987	4	4
2989	6	6
2991	11	11
2993	2	2
2995	12	12
2999	14	14
3001	6	6
3003	14	14
3005	5	5
3007	15	15
3009	11	11
3011	16	16
3013	6	6
3015	21	21
3017	2	2
3019	18	18
3021	27	27
3023	14	14
3025	7	7
3027	26	26
3029	5	5
3031	11	11
3033	11	11
3035	10	10
3037	3	3
3039	14	14
3041	6	6
3043	9	9
3045	8	8
3047	15	15
3049	4	4
3051	15	15
3053	6	6
3055	7	7
3057	11	11
3059	7	7
3061	4	4
3063	7	7
3065	2	2
3067	10	10
3069	2	2
3071	4	4
3073	4	4
3075	2	2
3079	1	1
3081	1	1
3083	1	1
3085	1	1
3095	1	1
3101	1	1
3105	2	2
3109	2	2
3159	1	1
3243	1	1
3249	1	1
3255	3	3
3267	1	1
3275	1	1
3279	1	1
3281	1	1
3297	1	1
3299	1	1
3303	1	1
3333	1	1
3357	1	1
